gene_id,locus_tag
SGL_RS01880,slr0612
SGL_RS01885,slr0613
SGL_RS01890,sll0558
SGL_RS01895,sll1214
SGL_RS01900,sll1213
SGL_RS01905,sll1212
SGL_RS01910,slr1311
SGL_RS19400,SGL_RS19400
SGL_RS01915,slr1312
SGL_RS01920,sll1209
SGL_RS01925,slr1315
SGL_RS01930,slr1316
SGL_RS01935,slr1317
SGL_RS01940,slr1318
SGL_RS01945,slr1319
SGL_RS01950,sll1206
SGL_RS01955,sll1205
SGL_RS01960,sll1204
SGL_RS01965,sll1203
SGL_RS01970,sll1202
SGL_RS01975,sll1409
SGL_RS01980,sll1408
SGL_RS01985,sll1407
SGL_RS01990,sll1406
SGL_RS01995,sll1405
SGL_RS02000,sll1404
SGL_RS02005,slr1484
SGL_RS02010,slr1485
SGL_RS02015,slr1488
SGL_RS02020,slr1489
SGL_RS02025,slr1490
SGL_RS02030,slr1491
SGL_RS02035,slr1492
SGL_RS02040,slr1493
SGL_RS02045,slr1494
SGL_RS02050,sll1401
SGL_RS02055,sll1400
SGL_RS02060,ssl2733
SGL_RS02065,sll1399
SGL_RS02070,sll1398
SGL_RS02075,slr1495
SGL_RS18635,SGL_RS18635
SGL_RS02085,sll1396
SGL_RS02090,slr1498
SGL_RS02095,sll1395
SGL_RS02100,sll1394
SGL_RS02105,sll1393
SGL_RS02110,sll1392
SGL_RS02115,slr1501
SGL_RS02120,slr1113
SGL_RS02125,slr1114
SGL_RS02130,slr1115
SGL_RS02135,slr1116
SGL_RS02140,slr1117
SGL_RS02145,sll1064
SGL_RS02150,slr1118
SGL_RS02155,sll1063
SGL_RS02160,slr1119
SGL_RS02165,sll1062
SGL_RS02170,sll1061
SGL_RS02175,sll1060
SGL_RS02180,ssl2069
SGL_RS02185,ssr1853
SGL_RS02190,slr1120
SGL_RS02195,sll1059
SGL_RS02200,sll1058
SGL_RS02205,sll1057
SGL_RS02210,SGL_RS02210
SGL_RS02215,SGL_RS02215
SGL_RS02220,sll1056
SGL_RS02225,slr1122
SGL_RS02230,sll1054
SGL_RS02235,sll1053
SGL_RS02240,slr1123
SGL_RS02245,slr1124
SGL_RS02250,slr1125
SGL_RS02255,sll1052
SGL_RS02260,sll1051
SGL_RS02265,sll1049
SGL_RS02270,slr1127
SGL_RS02275,slr1128
SGL_RS02280,slr1129
SGL_RS02285,slr1130
SGL_RS02290,sll1045
SGL_RS02295,sll1043
SGL_RS02300,sll0716
SGL_RS02305,slr0721
SGL_RS02310,sll0712
SGL_RS02315,sll0711
SGL_RS02320,sll0710
SGL_RS02325,sll0709
SGL_RS18640,true
SGL_RS02330,sll0708
SGL_RS02335,slr0722
SGL_RS02340,slr0723
SGL_RS02345,slr0724
SGL_RS02350,slr0725
SGL_RS02355,slr0727
SGL_RS02360,slr0728
SGL_RS02365,slr0729
SGL_RS02370,slr0730
SGL_RS02375,slr0731
SGL_RS02380,sll0704
SGL_RS02385,slr0732
SGL_RS02390,sll0703
