chrom,tss,tes,gene_id,exon_num,strand,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161
chr21,36070023,36073164,CBR1,3,+,0.0,0.0,0.0,0.0,0.0,0.195948,0.0,0.195948,0.391896,0.0,0.391896,0.391896,0.195948,0.195948,0.391896,0.195948,0.0,0.0,0.0,0.587844,0.195948,0.391896,0.587844,0.195948,0.0,0.195948,0.391896,0.195948,0.195948,0.0,0.0,0.0,0.0,0.632091,0.632091,0.632091,1.264182,1.264182,1.264182,0.632091,0.632091,0.632091,1.264182,1.264182,0.632091,1.264182,0.632091,0.0,0.0,0.632091,1.264182,1.896272,1.264182,0.0,0.632091,1.896272,1.264182,0.632091,2.528363,5.056726,3.792545,1.264182,3.160454,4.424635,3.792545,6.320908,7.585089,5.056726,10.113452,8.21718,6.952998,9.481361,5.056726,5.688817,8.849271,14.538088,10.113452,7.585089,11.377634,9.481361,6.320908,6.952998,10.745543,10.745543,11.377634,13.905997,12.009725,13.905997,19.594814,18.962723,16.43436,17.698541,17.066451,17.698541,18.330632,18.330632,17.698541,14.538088,13.905997,15.802269,16.43436,15.170178,15.802269,14.538088,12.009725,12.641815,12.641815,10.113452,14.538088,13.905997,13.905997,20.226905,18.330632,17.066451,20.858995,19.594814,15.170178,17.698541,15.802269,14.538088,15.802269,10.745543,7.585089,6.320908,6.320908,6.952998,6.952998,3.792545,2.528363,6.320908,8.849271,6.074392,5.878444,4.898703,5.682496,4.898703,3.331118,2.547326,0.783793,0.979741,2.351378,1.175689,0.391896,0.587844,0.195948,1.959481,4.310859,2.547326,1.763533,1.567585,0.979741,0.979741,1.567585,2.15543,3.13517,0.979741,0.587844,0.979741,0.783793,1.175689,0.979741
chr21,39342314,39349088,HMGN1,6,-,0.195948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783793,0.783793,0.391896,0.195948,0.391896,0.0,0.195948,0.391896,0.391896,0.0,0.0,0.195948,0.391896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58492,0.58492,0.87738,0.58492,2.632139,3.509519,3.509519,7.311498,4.971818,6.726578,4.679359,2.632139,3.509519,6.434118,9.651177,11.405936,9.651177,9.066257,7.896417,5.556738,5.849198,3.801979,5.556738,7.019038,9.066257,9.358717,9.651177,12.283316,12.283316,15.500375,15.500375,14.038076,9.358717,10.821017,7.311498,8.481337,11.405936,7.019038,9.943637,7.603958,9.066257,12.283316,13.745616,15.792835,16.377755,15.792835,13.160696,12.283316,15.500375,13.453156,12.868236,11.113476,3.801979,7.896417,7.603958,5.849198,4.971818,4.094439,4.386899,5.849198,5.264278,7.019038,8.188877,7.311498,5.849198,5.264278,4.679359,2.047219,5.264278,7.019038,7.019038,11.990856,12.575776,17.255134,24.274172,22.811873,18.424974,18.717434,22.811873,19.594814,16.670215,16.962675,9.066257,5.849198,0.0,0.0,0.0,0.87738,3.801979,0.0,2.047219,5.849198,10.821017,5.849198,0.0,2.047219,4.702755,1.763533,4.506807,9.797407,6.466289,9.993355,9.601459,6.858185,5.094652,3.723015,3.723015,3.723015,3.723015,3.918963,4.114911,3.331118,2.351378,2.15543,0.587844,1.371637,0.391896,0.391896,0.391896,0.0,0.0,0.587844,0.587844,0.783793,0.979741,0.783793
chr21,26835754,26845409,ADAMTS1,9,-,0.0,0.0,0.0,0.0,0.0,0.195948,0.0,0.0,0.391896,0.391896,0.0,0.0,0.195948,0.0,0.0,0.0,0.195948,0.195948,0.195948,0.0,0.391896,0.195948,0.0,0.0,0.0,0.391896,0.587844,0.195948,0.0,0.195948,0.0,0.204113,0.204113,0.204113,0.816451,0.408225,0.816451,0.816451,0.408225,1.224676,1.632901,1.224676,3.265802,2.857577,3.674028,3.469915,1.837014,2.449352,2.245239,2.653464,2.041126,3.06169,2.449352,2.449352,3.674028,3.469915,5.511041,5.715154,7.348055,8.776844,9.593294,13.063209,15.716674,14.69611,12.450871,11.838533,13.063209,12.654984,11.226195,6.735717,5.919267,2.449352,1.837014,3.265802,16.737237,16.737237,14.083772,11.838533,8.980956,9.593294,16.329011,18.166025,18.370138,20.003039,18.166025,14.491998,14.69611,16.124899,16.533124,11.226195,11.634421,12.042646,11.430308,14.491998,18.166025,14.69611,15.104336,11.226195,10.00152,9.389182,12.042646,13.675547,15.920786,12.450871,12.859097,13.87966,15.920786,14.083772,15.308448,13.063209,11.838533,10.81797,9.185069,10.81797,8.776844,9.593294,7.143943,8.980956,7.960393,10.81797,14.491998,9.185069,5.306929,2.653464,2.245239,1.428789,1.020563,1.632901,1.428789,1.224676,1.224676,1.567585,1.567585,0.783793,1.175689,1.371637,0.783793,0.587844,0.391896,0.587844,0.195948,0.587844,0.195948,0.391896,1.175689,1.175689,0.391896,0.783793,1.175689,0.391896,0.979741,0.391896,0.979741,0.783793,0.783793,0.195948,0.783793,0.587844,0.391896,1.371637,0.391896
chr21,33543037,33577481,SON,11,+,2.15543,2.743274,2.743274,3.13517,2.743274,3.331118,3.723015,2.351378,1.175689,1.567585,0.783793,0.0,0.979741,0.783793,1.371637,0.195948,0.587844,0.783793,0.587844,0.587844,0.195948,0.0,0.391896,0.0,0.391896,0.587844,0.391896,0.587844,0.195948,0.0,0.284808,0.68354,1.139233,1.02531,1.253157,2.164543,0.911387,1.139233,1.36708,3.75947,1.936697,2.506313,7.917672,4.670857,3.474662,3.816432,8.316404,3.531623,6.208822,11.62018,13.158145,12.018912,15.436612,13.6708,14.639149,14.126494,18.569504,19.253044,14.069532,14.01257,12.873337,10.993602,11.677142,10.139177,7.632863,3.702508,4.386048,4.158202,8.999944,1.196195,5.12655,7.689825,10.537909,8.715135,7.917672,9.56956,9.854369,7.006285,9.398675,12.930299,6.550592,5.354397,9.683484,7.17717,4.727818,2.962007,5.980975,4.215163,3.189853,1.936697,2.677198,4.044278,2.848083,1.310118,1.993658,2.221505,1.196195,0.854425,0.68354,1.310118,4.499972,2.449352,2.563275,1.822773,3.75947,6.322745,8.373365,10.765755,11.27841,6.8354,3.018968,1.651888,4.10124,7.803748,4.499972,5.696167,3.588585,5.867052,4.898703,5.411358,9.170829,8.088557,5.753128,2.107582,4.670857,3.873393,3.07593,4.898703,6.49363,2.905045,4.453367,3.723015,0.783793,4.114911,5.682496,8.817666,6.858185,7.641977,5.878444,6.858185,7.837925,6.466289,5.094652,6.858185,7.446029,2.15543,3.13517,4.506807,9.209562,10.189303,7.250081,9.993355,6.27034,3.918963,2.351378,0.783793,0.979741,3.918963,2.939222,0.587844,0.391896
chr21,29056325,29073648,CCT8,16,-,0.0,0.391896,0.195948,0.195948,0.0,0.0,0.195948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195948,0.195948,0.0,0.195948,0.391896,0.0,0.0,0.0,0.0,0.0,0.195948,0.195948,0.195948,0.0,0.0,0.0,0.851948,0.453059,0.339794,0.566324,0.566324,0.906119,1.698972,1.472443,1.359178,1.812237,2.83162,2.944885,2.378561,1.585707,2.152032,3.05815,2.265296,1.925502,2.718356,3.737739,2.718356,3.397945,4.190798,6.1163,5.436711,3.737739,3.964269,6.682624,8.608126,3.511209,2.038767,3.28468,4.417328,8.381597,13.138719,9.967304,8.947921,10.533628,12.68566,11.553012,7.928537,6.56936,3.28468,3.511209,4.643858,1.472443,5.889771,10.533628,13.251984,12.119336,8.608126,8.268332,7.588743,5.889771,2.718356,6.003035,6.56936,3.05815,8.041802,7.702008,7.135684,9.061186,13.478513,11.892806,11.666276,10.533628,8.494861,9.287715,10.533628,9.62751,8.155067,8.947921,7.815273,7.475478,12.912189,15.177486,11.099952,4.530593,3.171415,4.870387,5.210182,7.588743,8.721391,7.362213,10.080569,5.776506,1.698972,2.152032,4.870387,1.698972,4.870387,6.795889,4.190798,0.906119,3.171415,1.472443,3.171415,7.588743,9.061186,7.248948,6.1163,14.892058,15.088007,14.108266,8.817666,4.702755,5.094652,6.074392,5.878444,6.466289,10.189303,9.601459,8.621718,8.033874,11.756888,2.15543,0.0,0.391896,1.567585,2.939222,1.959481,2.939222,6.662237,6.27034,8.229822,8.033874,5.2906,5.682496,4.702755,5.682496,6.662237
chr21,33903452,33915804,ATP5PO,7,-,0.0,0.0,0.0,0.0,0.0,0.0,0.195948,0.391896,0.0,0.0,0.0,0.195948,0.391896,0.195948,0.0,0.0,0.0,0.195948,0.0,0.0,0.195948,0.0,0.195948,0.195948,0.195948,0.0,0.0,0.195948,0.391896,0.587844,0.376823,0.477922,0.159307,0.159307,0.159307,0.477922,1.115152,1.115152,0.477922,1.593074,0.796537,2.867534,2.070997,4.460608,3.345456,1.911689,1.433767,6.21299,5.097838,7.168834,8.124679,9.399138,10.195675,8.761909,7.965371,8.761909,7.487449,6.690912,3.345456,7.328142,6.053682,4.460608,3.664071,3.664071,4.93853,6.850219,6.053682,5.735067,5.257145,5.416453,7.009527,7.646757,8.602601,6.372297,10.036368,10.992213,10.036368,9.399138,7.168834,4.460608,2.070997,1.911689,3.982686,5.735067,5.735067,7.009527,7.646757,9.399138,3.823378,2.389611,5.57576,5.257145,2.708226,4.460608,7.487449,10.51429,7.646757,11.470135,14.178361,11.948057,10.195675,7.328142,5.57576,5.57576,7.965371,7.168834,7.965371,10.51429,10.354983,8.443294,5.097838,0.63723,4.779223,9.239831,10.832905,8.761909,6.690912,4.301301,3.504763,1.752382,6.372297,8.283986,6.690912,7.009527,6.850219,5.894375,3.026841,2.389611,3.026841,3.504763,5.894375,4.506807,5.682496,8.033874,8.42577,7.446029,5.682496,3.723015,5.486548,4.898703,4.506807,1.959481,6.074392,7.837925,7.446029,6.858185,4.898703,4.310859,7.446029,3.527066,4.114911,3.723015,2.743274,0.783793,1.567585,1.567585,1.959481,1.371637,2.351378,2.547326,3.723015
chr21,43773949,43776308,CSTB,3,-,0.0,0.0,0.195948,0.0,0.0,0.0,0.391896,0.0,0.195948,0.195948,0.0,0.0,0.195948,0.195948,0.0,0.195948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195948,0.0,0.0,0.195948,0.195948,0.0,0.195948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851948,0.851948,0.0,0.0,0.0,0.0,0.851948,0.851948,0.851948,0.0,0.851948,0.851948,0.0,0.851948,0.851948,1.703897,2.555845,2.555845,2.555845,1.703897,1.703897,2.555845,2.555845,0.851948,0.851948,0.0,0.0,0.0,0.0,1.703897,2.555845,1.703897,0.0,0.851948,1.703897,1.703897,2.555845,1.703897,1.703897,1.703897,0.851948,1.703897,1.703897,0.851948,0.851948,0.851948,1.703897,0.851948,2.555845,7.667536,7.667536,2.555845,3.407794,5.111691,7.667536,9.371433,7.667536,12.779226,13.631175,12.779226,11.07533,9.371433,8.519484,11.07533,10.223381,12.779226,11.927278,13.631175,15.335072,17.038968,11.927278,16.18702,19.594814,17.890917,18.742865,19.594814,18.742865,20.446762,17.890917,13.631175,14.483123,14.483123,14.483123,13.631175,12.779226,14.483123,13.631175,11.927278,13.631175,14.483123,10.223381,5.111691,4.259742,8.519484,6.074392,5.486548,8.033874,9.601459,8.621718,8.42577,5.094652,4.310859,2.15543,0.783793,0.783793,2.743274,1.763533,0.783793,0.979741,0.195948,0.195948,0.0,0.0,0.195948,0.587844,0.391896,0.195948,0.195948,0.195948,0.195948,0.0,0.587844,0.783793,0.391896
chr21,46235132,46285611,MCM3AP,28,-,1.175689,0.783793,3.13517,2.743274,2.351378,0.979741,0.391896,0.783793,0.979741,1.959481,0.0,0.195948,0.391896,0.0,0.195948,0.391896,0.587844,0.0,0.0,0.0,0.0,0.0,0.195948,0.0,0.0,0.391896,0.391896,0.391896,0.587844,0.391896,0.744107,1.788416,3.265802,5.676275,7.270298,2.604866,1.516265,2.954774,2.060566,4.121131,3.304681,5.248611,8.669928,4.898703,4.237767,4.16001,9.058713,6.531605,0.855329,1.632901,4.937582,7.77572,4.471039,5.443004,5.715154,4.626553,10.147314,6.414969,2.604866,2.915895,6.026183,7.192541,6.920391,2.177202,5.326368,2.021687,2.565988,6.337212,4.782068,3.421317,5.248611,6.026183,5.598518,4.70431,2.254959,0.699815,1.594023,3.382438,2.760381,9.136471,5.287489,2.177202,1.39963,6.181697,6.337212,5.054218,1.282994,5.170854,6.414969,4.743189,6.453847,8.32002,6.026183,5.83179,6.181697,3.537952,2.449352,3.343559,4.237767,5.637397,7.192541,5.365247,2.799259,3.537952,3.61571,3.382438,1.166358,5.131975,8.125627,3.810103,4.898703,6.725998,8.942078,6.998148,6.764876,6.764876,6.259454,6.764876,5.55964,7.659084,5.870668,6.10394,6.10394,5.948426,2.21608,0.622058,1.710658,5.326368,7.114784,4.782068,5.792911,9.797407,9.993355,11.169044,6.074392,7.641977,9.013614,6.27034,5.682496,5.878444,7.837925,8.033874,6.074392,5.094652,2.15543,4.310859,3.918963,3.331118,3.13517,3.918963,5.486548,5.486548,4.898703,4.506807,4.310859,3.527066,1.371637,3.331118,4.114911,4.506807,4.702755
chr21,31659692,31668931,SOD1,5,+,0.391896,0.195948,0.195948,0.0,0.391896,0.195948,0.0,0.0,0.0,0.0,0.391896,0.783793,0.587844,0.195948,0.391896,0.0,0.195948,0.0,0.0,0.0,0.0,0.0,0.391896,0.391896,0.783793,0.195948,0.195948,0.0,0.0,0.0,0.425974,0.638961,0.0,0.0,0.0,0.212987,1.064936,0.425974,1.064936,1.064936,1.703897,2.342858,2.129871,2.342858,1.916884,1.916884,2.981819,2.768832,1.49091,0.638961,1.49091,3.194807,6.815587,7.028574,8.306497,4.898703,6.815587,6.6026,6.815587,8.945458,10.010394,5.537665,4.046755,0.851948,0.0,0.0,1.064936,1.277923,0.851948,1.277923,4.898703,6.176626,5.537665,8.519484,8.519484,10.436368,8.519484,8.945458,4.898703,4.472729,7.880523,6.176626,6.176626,3.833768,0.0,1.703897,2.555845,4.046755,3.407794,2.768832,2.129871,3.833768,5.963639,7.454549,8.519484,7.667536,4.472729,4.259742,1.064936,1.49091,3.620781,8.09351,8.306497,8.09351,6.815587,6.6026,5.324678,4.685716,5.750652,7.880523,8.945458,14.909097,13.631175,13.418188,9.371433,9.797407,8.945458,8.732471,8.519484,8.306497,6.6026,9.58442,8.09351,5.963639,4.898703,6.176626,8.09351,8.306497,6.815587,5.324678,5.024311,3.918963,6.466289,8.42577,7.641977,7.641977,5.878444,4.310859,2.743274,4.898703,4.114911,2.547326,4.506807,2.547326,4.114911,3.918963,4.310859,3.527066,3.918963,6.466289,4.702755,2.939222,1.371637,1.959481,3.527066,3.331118,5.2906,4.898703,3.918963,3.918963,5.2906
chr21,29024667,29054488,USP16,18,+,0.0,0.0,0.391896,0.783793,0.587844,0.391896,0.195948,0.0,0.0,0.195948,0.195948,0.0,0.195948,0.0,0.391896,0.0,0.195948,0.0,0.195948,0.195948,0.195948,0.0,0.0,0.195948,0.0,0.0,0.0,0.0,0.195948,0.195948,0.131509,0.131509,0.59179,1.052071,1.183579,0.526035,0.526035,0.723298,0.920562,1.64386,1.446597,1.117825,2.432913,2.498668,5.326107,1.117825,6.049406,5.063089,4.011019,3.87951,8.9426,11.770039,9.665898,3.945265,7.364494,5.194598,5.128844,3.945265,2.367159,3.419229,4.602809,3.28772,1.841123,3.221966,5.194598,3.945265,1.512351,1.906878,4.339791,7.693266,6.641195,3.550738,4.076773,4.208282,7.561757,7.232985,4.734317,5.457616,3.550738,4.011019,6.049406,5.589125,5.391861,1.446597,2.564422,2.104141,3.090457,4.668563,4.405545,6.246669,1.972632,3.945265,4.076773,4.405545,3.090457,2.104141,2.432913,3.484984,3.024703,5.326107,5.063089,2.432913,3.221966,4.734317,6.641195,8.811091,9.468635,5.457616,2.23565,1.906878,2.498668,5.720634,6.575441,7.75902,6.70695,7.167231,9.40288,7.627511,7.693266,5.720634,3.28772,5.589125,5.654879,6.70695,3.682247,4.011019,4.997335,4.865826,6.509686,3.024703,5.598518,2.15543,0.391896,0.391896,0.195948,9.209562,9.993355,7.641977,9.013614,9.601459,8.229822,5.094652,5.486548,5.2906,3.13517,6.466289,11.364992,15.675851,16.263695,9.993355,6.858185,5.682496,9.993355,9.797407,9.797407,8.229822,6.27034,2.15543,0.587844,3.527066,4.506807
chr21,25724499,25735653,ATP5PF,4,-,0.783793,0.195948,0.587844,1.175689,1.175689,0.587844,0.587844,0.587844,0.195948,0.587844,0.195948,0.195948,0.0,0.587844,0.783793,0.195948,0.195948,0.587844,0.979741,0.195948,0.195948,0.391896,0.587844,0.587844,0.195948,0.195948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35306,0.0,0.35306,0.0,0.35306,0.35306,0.52959,0.35306,0.882649,1.235709,0.706119,0.35306,0.706119,0.882649,0.706119,0.882649,1.059179,1.235709,0.17653,2.294888,1.941828,0.706119,0.17653,0.52959,2.294888,1.235709,2.294888,1.941828,3.177537,4.413246,2.647948,1.765299,2.118358,2.824478,2.118358,1.765299,3.001008,1.941828,1.588769,3.177537,1.588769,0.882649,0.0,0.706119,2.294888,4.413246,6.708134,6.355075,7.061194,7.767314,6.531605,6.002015,5.295896,7.590784,8.120373,7.061194,7.767314,10.062202,11.47444,9.885672,10.944851,11.297911,10.591791,10.238732,11.297911,12.53362,10.591791,9.532612,8.649963,8.473433,7.767314,8.649963,5.472425,7.943843,7.590784,4.766306,5.295896,5.825485,5.119366,6.178545,6.531605,7.767314,7.767314,9.356082,10.591791,8.473433,4.413246,0.882649,1.765299,6.355075,9.179552,9.532612,11.297911,9.709142,7.767314,7.767314,5.472425,6.178545,8.033874,8.229822,10.581199,6.466289,6.074392,2.351378,2.547326,1.175689,0.0,3.918963,4.310859,6.27034,6.27034,8.42577,7.250081,7.837925,7.250081,6.858185,5.2906,5.682496,4.898703,6.074392,6.662237,7.641977,4.702755,0.979741,0.979741,2.351378,2.939222,2.743274
