chrom,tss,tes,gene_id,exon_num,strand,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61
chr21,33543037,33577481,SON,11,+,356.602731,368.580432,381.3311,394.212657,408.085103,423.761049,440.357933,457.744534,477.447483,498.971847,519.237933,539.994307,567.424714,592.369366,617.108098,648.305538,680.656399,712.648127,753.247636,817.520423,890.832392,959.110915,953.265811,885.46444,910.680053,1036.394752,1237.395675,1528.847978,2160.889995,3528.644337,2717.009892,1111.08362,804.697398,721.45284,848.632026,1085.647783,401.192525,206.955222,195.393477,139.897105,91.337779,90.181605,100.587175,116.773617,141.05328,184.987908,233.547233,134.116233,57.808721,79.776035,143.365628,179.207035,76.307512,31.216709,32.372884,48.559326,86.713082,117.929791,92.493954,41.622279,20.81114
chr21,33503930,33542892,GART,22,-,52.027849,106.368047,108.680396,73.995163,38.153756,32.372884,46.246977,126.023012,181.519384,114.461268,61.277244,84.400733,201.174349,226.610187,128.335361,117.929791,121.398314,93.650128,85.556907,112.148919,188.456431,191.924954,252.046024,743.420154,1081.023085,733.014584,834.757933,944.594503,1818.662366,3162.137045,3068.486917,1575.865738,957.890509,747.274068,609.882008,578.318446,669.810382,770.342501,740.096152,678.417458,617.859611,568.627602,547.352241,522.05722,497.402753,476.189705,457.194723,436.353829,417.378966,400.705714,382.693734,366.011789,351.161704,337.150515,323.969708,311.704624,301.628119,291.013384,280.826509,271.700989,263.453612
chr21,46324155,46445769,PCNT,47,+,254.358373,259.262147,264.268439,269.174534,275.525258,283.540215,290.777867,296.935753,304.914727,316.846848,327.891066,340.40209,355.523635,371.608061,386.884866,400.730055,418.369973,436.05563,453.124026,476.238755,508.601128,548.283604,591.961304,657.037407,744.383632,854.412898,1029.573323,1250.595333,1544.649028,1897.282227,1179.297911,477.500036,576.931037,1222.076364,1240.575155,1263.698644,1090.27248,913.377794,640.52063,361.882594,405.817222,738.795456,1253.293074,889.098131,201.174349,134.116233,201.174349,165.332942,54.340198,30.060535,114.461268,186.144082,105.211872,121.398314,89.025431,32.372884,32.372884,26.592012,16.186442,11.561744,9.249395
chr21,33449140,33479974,TMEM50B,7,-,41.622279,35.841407,36.997582,35.841407,33.529058,32.372884,43.934628,39.30993,47.403151,46.246977,32.372884,40.466105,68.214291,50.871675,35.841407,23.123488,24.279663,27.748186,34.685233,42.778454,75.151337,123.710663,84.400733,64.745768,213.892268,476.343862,1313.414144,2193.262879,2715.853718,2750.538951,3098.547452,2171.295565,1376.42565,1046.723244,877.247343,797.760351,699.485526,625.65553,571.58373,532.35409,501.31723,464.887225,430.385929,408.040635,385.58417,366.507292,347.069109,328.149505,311.396311,295.554693,281.239428,268.617857,256.880935,246.214884,236.437669,227.396385,219.317394,211.922489,204.849332,198.582924,192.233267
chr21,37223419,37268108,VPS26C,7,-,17.342616,24.279663,31.216709,80.93221,87.869256,50.871675,38.153756,42.778454,45.090802,52.027849,64.745768,93.650128,108.680396,109.83657,149.1465,150.302675,105.211872,91.337779,79.776035,76.307512,76.307512,79.776035,93.650128,64.745768,60.12107,65.901942,33.529058,83.244558,328.353536,702.954049,1482.215609,2052.2096,1323.241626,1153.862073,1235.661414,1295.377823,1300.310834,1232.977438,1112.528838,1024.113611,955.693777,909.59395,850.366288,790.378622,735.90502,690.081974,649.842286,613.588567,582.262285,554.050953,527.331154,502.99093,480.916006,461.062252,442.044021,424.82473,409.641491,395.240367,381.537559,368.899377,358.028679
chr21,39174768,39183451,PSMG1,7,-,93.650128,79.776035,52.027849,47.403151,55.496372,47.403151,31.216709,18.498791,43.934628,52.027849,36.997582,24.279663,38.153756,57.808721,52.027849,56.652547,121.398314,138.740931,107.524221,267.076292,267.076292,121.398314,197.705826,536.464932,1148.081201,1977.058262,2205.980798,1656.797947,2005.962623,2873.093439,2592.143055,1460.248295,975.233125,758.06503,620.865665,541.08963,471.526469,424.481181,383.99443,349.036212,331.243972,316.371365,297.811262,285.397209,269.140889,254.204216,240.122975,227.766361,218.516966,209.510976,201.694628,195.393477,189.770265,183.027438,176.605643,171.345049,171.158283,168.416074,163.763849,158.794577,154.349285
chr21,46301129,46323870,C21orf58,9,-,26.592012,35.841407,33.529058,62.433419,131.803884,104.055698,179.207035,127.179186,35.841407,39.30993,153.771198,213.892268,142.209454,190.76878,827.820886,1248.668376,759.606595,420.84749,379.225211,625.490362,884.473433,1102.990399,1300.696225,1157.330597,1256.761597,634.739758,452.064199,1074.086038,1779.352436,2196.731402,1682.233784,993.153829,583.289996,450.137242,371.421033,323.728838,302.532307,281.611056,266.209161,257.95536,254.589608,247.94686,240.869671,235.237027,229.665791,220.13561,210.134701,202.466544,197.448899,189.916862,185.855038,183.06095,180.941297,176.392002,172.944424,170.096381,169.023807,167.045793,164.465812,163.738219,164.138229
chr21,31670999,31732118,SCAF4,20,-,113.305093,102.899524,50.871675,53.184023,45.090802,47.403151,61.277244,65.901942,94.806303,79.776035,67.058116,216.204617,403.504873,412.754269,339.91528,241.640454,219.67314,198.862001,203.486698,248.577501,388.474606,551.495199,464.782118,317.947966,342.227629,430.096885,649.770025,841.694979,1127.270062,1213.983143,1869.534041,1834.848808,1085.647783,812.019836,692.548479,623.640483,582.326517,569.498487,534.008061,503.706657,471.603547,452.274413,429.807841,404.305302,379.968466,357.334975,336.880322,319.308171,304.395033,289.652118,275.921026,263.662824,252.571558,242.796629,233.980799,226.055223,219.762077,213.378413,207.822352,202.21092,196.703808
chr21,33642500,33899861,ITSN1,39,+,289.236301,298.452473,308.781155,320.003387,332.31121,345.41867,359.425724,374.349171,390.786955,408.68013,428.247006,449.325891,473.517658,500.079443,527.649102,560.97583,600.219693,644.07809,684.551606,738.690349,807.356599,875.994821,942.860241,1023.875035,1017.433492,982.517024,1002.692268,1218.993233,1498.980139,1661.422645,990.84148,664.800293,339.91528,208.111396,203.486698,128.335361,139.897105,179.207035,196.549652,109.83657,49.7155,54.340198,53.184023,38.153756,41.622279,47.403151,28.904361,11.561744,15.030267,20.81114,13.874093,13.874093,11.561744,17.342616,20.81114,24.279663,17.342616,28.904361,39.30993,21.967314,16.186442
chr21,36156823,36294274,DOP1B,37,+,231.42758,239.248369,247.627786,256.713543,266.587141,276.973145,288.465518,300.957229,314.374336,329.234431,345.522726,363.464728,383.464517,405.477171,430.45819,458.924167,491.291546,528.282775,570.379382,617.922675,672.662279,738.281601,825.653059,936.170947,1071.388298,1244.043678,1378.448955,1424.021497,1487.418394,2052.2096,1442.905679,793.135654,551.495199,413.910443,365.351117,263.607768,168.801466,99.431,52.027849,26.592012,6.937047,8.093221,12.717919,15.030267,16.186442,15.030267,16.186442,18.498791,15.030267,21.967314,15.030267,10.40557,16.186442,11.561744,11.561744,10.40557,9.249395,15.030267,20.81114,31.216709,32.372884
